firstname,surname,birthdate,zip_codes
16457,MATTHEW,MOLINA,1975-09-05,11226
16458,WILLIAM,KEITH,1947-01-24,11226
16459,KEITH,PARKS,1953-06-09,11226
16460,FRED,SIMPSON,1964-10-04,11227
16461,JOHN,BAUER,1940-05-25,11226
16462,ROBERT,RUSSELL,1991-01-17,11226
16463,PETER,GARRISON,1994-09-01,11377
16464,JOHN,EDWARDS,1984-08-15,11226
16465,ROBERT,MCFARLAND,1975-02-22,11226
16466,JOHN,WEAVER,1987-04-25,11226
16467,RICHARD,SIMPSON,1940-02-25,11227
16468,MICHAEL,BROOKS,1983-01-05,11377
16469,SEAN,PERKINS,1989-08-18,11226
16470,DONALD,GARDNER,1979-11-25,11227
16471,FRANK,SUMMERS,1949-06-20,11227
16472,MICHAEL,PAGE,1966-04-22,11227
16473,JAMES,JONES,1946-04-12,11227
16474,BENJAMIN,ROTH,1981-09-23,11226
16475,LARRY,WARREN,1972-02-19,11226
16476,PATRICK,FRAZIER,1942-06-03,11109
16477,JACK,REED,1947-10-03,11226
16478,WILLIAM,BURKE,1949-11-03,11226
16479,MICHAEL,HAMMOND,1991-07-19,11226
16480,PETER,BROWN,1976-08-31,11226
16481,MICHAEL,LONG,1977-05-04,11226
16482,JUSTIN,DEAN,1987-02-05,11377
16483,JOSE,CLARK,1942-04-06,11226
16484,MICHAEL,FLETCHER,1952-02-02,11226
16485,MICHAEL,BARNES,1983-01-15,11377
16486,JOSEPH,RODRIGUEZ,1952-03-24,11226
16487,DAVID,BELL,1999-10-22,11109
16488,WILLIAM,BELL,1956-05-03,11226
16489,STEVEN,KNOX,1959-08-25,11109
16490,STEVE,GALLAGHER,1964-09-06,11109
16491,JOSHUA,RAMSEY,1986-05-26,11226
16492,JEREMY,TOWNSEND,1949-05-08,11227
16493,CRAIG,JOHNSON,1975-01-26,11109
16494,FRANK,DOWNS,1970-11-04,11227
16495,JOHN,HARVEY,1990-12-20,11227
16496,GARY,HAYES,1941-10-26,11227
16497,WILLIAM,DAVIS,1987-04-23,11226
16498,TIMOTHY,PERRY,1994-03-28,11226
16499,PAUL,PIERCE,1975-04-08,11377
16500,ANDREW,WEAVER,1952-10-08,11377
16501,WALTER,VARGAS,1979-03-20,11377
16502,ERIC,WARNER,1997-01-01,11226
16503,CHARLES,COOLEY,1960-01-14,11226
16504,WALTER,GORDON,1957-07-04,11227
16505,KENNETH,COOK,1997-07-22,11226
16506,JOSE,NICHOLS,1970-05-10,11377
16507,BOBBY,CUNNINGHAM,1967-07-29,11226
16508,TIMOTHY,WILKINS,1980-06-08,11227
16509,CHARLES,JOHNSON,1962-12-27,11226
16510,JOHN,TURNER,1988-02-19,11109
16511,DAVID,MARTIN,1967-02-22,11377
16512,MICHAEL,DAVIS,1990-04-27,11109
16513,JEREMY,ORTEGA,1995-03-01,11226
16514,ROBERT,AGUIRRE,1961-10-19,11226
16515,THOMAS,REED,1945-09-28,11227
16516,CHRISTOPHER,MULLINS,1999-05-05,11226
16517,JOHN,RODRIGUEZ,1945-11-12,11377
16518,CHARLES,WILLIAMS,1983-02-07,11227
16519,PATRICK,BRADLEY,1964-11-23,11377
16520,WAYNE,OWENS,1991-09-22,11377
16521,JERRY,SWANSON,1976-08-20,11377
16522,DOUGLAS,CARR,1986-12-28,11109
16523,KEITH,WILSON,1960-08-14,11227
16524,JOSEPH,GRAY,1951-09-03,11227
16525,PAUL,CAMPBELL,1960-02-20,11227
16526,HENRY,ROSS,1962-03-29,11226
16527,JAMES,WILSON,1990-01-30,11109
16528,KENNETH,HILL,1985-10-20,11226
16529,HOWARD,LIVINGSTON,1978-02-10,11109
16530,GERALD,WILLIAMS,1985-04-12,11226
16531,FRANK,AUSTIN,1995-06-16,11226
16532,JACK,SMITH,1997-12-12,11377
16533,ROBERT,BROWN,1992-02-04,11226
16534,WILLIAM,BAIRD,1969-04-28,11226
16535,PETER,GLENN,1969-05-25,11227
16536,EDWARD,CLARK,1963-11-30,11226
16537,ALAN,SANDERS,1982-03-10,11226
16538,MICHAEL,KIRBY,1965-09-14,11227
16539,TIMOTHY,GRANT,1979-05-25,11226
16540,MATTHEW,GRAVES,1971-04-13,11377
16541,STEPHEN,FREEMAN,1959-07-19,11227
16542,PETER,STANLEY,1998-05-08,11226
16543,CHARLES,PENA,1958-02-03,11227
16544,WILLIE,GRAVES,1946-05-31,11226
16545,HOWARD,PARKER,1985-06-28,11226
16546,TERRY,HOOVER,1978-09-07,11226
16547,ROBERT,KING,1955-02-08,11109
16548,BRUCE,WHITE,1984-10-01,11109
16549,THOMAS,HOOVER,1946-04-30,11109
16550,JASON,SCOTT,1944-11-19,11226
16551,PATRICK,WELLS,1966-03-05,11226
16552,MICHAEL,STEELE,1987-10-19,11226
16553,MATTHEW,ERICKSON,1957-08-18,11226
16554,BOBBY,ORTIZ,1942-09-19,11226
16555,JERRY,SHARP,1982-08-12,11227
16556,GEORGE,HYDE,1950-06-09,11226
16557,DAVID,DAY,1988-04-23,11226
16558,DENNIS,COX,1990-10-29,11227
16559,LAWRENCE,WATSON,1999-03-10,11226
16560,JAMES,DOUGLAS,1972-04-03,11227
16561,PETER,MORAN,1965-01-18,11226
16562,WILLIAM,SMITH,1983-11-23,11227
16563,RANDY,WARD,1946-07-02,11227
16564,LARRY,BATES,1971-07-31,11109
16565,GARY,SWEENEY,1982-04-20,11226
16566,WILLIAM,MILLER,1977-03-01,11377
16567,EDWARD,BARBER,1975-12-04,11377
16568,JOHN,CANNON,1973-12-11,11226
16569,ADAM,NELSON,1989-05-24,11377
16570,DONALD,TOWNSEND,1989-11-30,11226
16571,RICHARD,JOHNSON,1966-06-09,11226
16572,CARL,CARROLL,1986-12-10,11109
16573,WILLIAM,CHASE,1957-11-06,11226
16574,JOHN,HARRIS,1977-04-20,11377
16575,JACK,THORNTON,1971-03-07,11227
16576,JAMES,PEREZ,1973-12-28,11227
16577,JAMES,DAVIS,1946-08-07,11377
16578,WILLIAM,WILCOX,1958-08-29,11226
16579,CHARLES,COLE,1970-08-27,11227
16580,FRANK,WILLIAMS,1963-02-14,11227
16581,WILLIAM,CLARKE,1982-02-01,11377
16582,JOE,JAMES,1965-08-10,11226
16583,DAVID,WRIGHT,1984-02-15,11109
16584,MICHAEL,BROWN,1972-03-19,11226
16585,WILLIAM,COLLIER,1944-09-12,11377
16586,CHRISTOPHER,STEWART,1946-02-20,11226
16587,JEFFREY,YOUNG,1963-11-21,11109
16588,KENNETH,MANNING,1972-05-20,11226
16589,RONALD,MURPHY,1993-04-21,11227
16590,MICHAEL,WILLIAMS,1946-11-22,11227
16591,JAMES,JONES,1974-11-02,11226
16592,THOMAS,LEWIS,1960-04-12,11109
16593,TODD,HOLMES,1998-01-18,11227
16594,JAMES,MARTIN,1984-01-11,11377
16595,AARON,GIBSON,1981-12-02,11227
16596,EDWARD,CHAN,1988-10-27,11226
16597,KEVIN,WHITLEY,1982-11-20,11226
16598,RICHARD,MARTIN,1985-07-18,11377
16599,RALPH,WILLIAMS,1953-06-09,11226
16600,CHRISTOPHER,POWELL,1977-09-23,11226
16601,JOSE,BERRY,1963-08-08,11226
16602,BRIAN,SIMS,1984-09-23,11109
16603,JACK,HOLT,1987-12-25,11377
16604,RYAN,PARK,1951-02-26,11226
16605,CHARLES,MCNEIL,1958-02-10,11226
16606,FRANK,SKINNER,1970-05-17,11227
16607,PAUL,PRUITT,1989-03-24,11377
16608,ALBERT,JOHNSON,1973-07-30,11226
16609,ROBERT,TREVINO,1992-05-09,11226
16610,DANIEL,WILLIAMS,1978-01-21,11377
16611,GREGORY,SIMS,1998-04-26,11109
16612,DAVID,DIAZ,1988-05-28,11226
16613,DONALD,TRAN,1985-06-30,11377
16614,CHRISTOPHER,ELLIS,1960-07-10,11109
16615,WALTER,COTTON,1962-04-22,11226
16616,AARON,ROBINSON,1952-12-24,11377
16617,NICHOLAS,BOWMAN,1987-06-06,11226
16618,JOSE,CRUZ,1956-06-25,11109
16619,JASON,LUNA,1981-07-08,11377
16620,VICTOR,BECK,1942-12-26,11226
16621,DAVID,ADAMS,1980-05-29,11227
16622,JOHNNY,EATON,1961-12-22,11227
16623,MICHAEL,BRADY,1951-09-06,11226
16624,JOSHUA,BENTLEY,1988-12-12,11226
16625,JOHN,RODRIGUEZ,1988-10-31,11377
16626,ANDREW,DAVIS,1984-07-12,11226
16627,JESSE,CLARK,1996-01-31,11226
16628,ROBERT,JOHNSON,1996-06-22,11226
16629,WILLIAM,MATTHEWS,1940-10-12,11226
16630,JUSTIN,BEASLEY,1991-11-21,11109
16631,JAMES,SMITH,1954-03-16,11226
16632,BRIAN,FOWLER,1967-12-16,11226
16633,GEORGE,TAYLOR,1946-06-02,11227
16634,DANIEL,WILEY,1994-05-11,11377
16635,JEFFREY,FRANCIS,1949-06-11,11226
16636,DONALD,WOOD,1979-04-21,11226
16637,JERRY,EATON,1999-05-18,11227
16638,DONALD,JOHNSON,1983-11-29,11226
16639,LARRY,DUNN,1972-06-23,11377
16640,ROBERT,LYNCH,1975-01-06,11226
16641,THOMAS,FLORES,1952-01-03,11377
16642,PAUL,GARCIA,1973-01-31,11226
16643,MICHAEL,DORSEY,1957-05-18,11377
16644,CHRISTOPHER,STOKES,1954-11-26,11226
16645,DAVID,ROBINSON,1981-06-02,11226
16646,RICHARD,CASTRO,1987-07-20,11109
16647,JAMES,RUSSELL,1997-04-18,11226
16648,JAMES,WATSON,1990-04-30,11377
16649,DAVID,GONZALES,1998-07-10,11227
16650,JOHN,RAMSEY,1946-11-20,11109
16651,DAVID,POWERS,1998-01-13,11226
16652,MICHAEL,SAVAGE,1960-07-15,11227
16653,STEVE,HUFF,1976-10-09,11377
16654,JOHN,CHRISTENSEN,1966-01-10,11226
16655,SHAWN,TOWNSEND,1990-04-13,11109
16656,JOSEPH,WILLIAMS,1965-07-14,11226
16657,DAVID,HUDSON,1943-08-15,11227
16658,WALTER,OLSON,1999-12-05,11226
16659,ALBERT,FAULKNER,1952-11-23,11226
16660,MATTHEW,MYERS,1964-08-15,11226
16661,MATTHEW,SMITH,1993-01-22,11227
16662,MARTIN,SOTO,1982-05-25,11377
16663,STEVEN,BROWN,1963-12-11,11227
16664,MATTHEW,HOLMES,1963-08-05,11226
16665,JERRY,RODRIQUEZ,1946-07-23,11226
16666,DANIEL,STEVENS,1992-01-02,11109
16667,STEVEN,GREEN,1958-10-12,11227
16668,DAVID,VARGAS,1989-04-09,11377
16669,SCOTT,JONES,1959-01-28,11109
16670,SCOTT,JOHNSON,1976-04-02,11226
16671,RICHARD,SMITH,1987-05-19,11109
16672,WILLIAM,BOOTH,1999-12-05,11109
16673,RUSSELL,GOODWIN,1981-02-23,11377
16674,BRIAN,MILLER,1993-08-10,11109
16675,WILLIAM,WONG,1963-03-27,11226
16676,KEVIN,WALKER,1942-07-03,11226
16677,DAVID,MEDINA,1971-12-05,11109
16678,ROBERT,MOSS,1968-06-23,11226
16679,RYAN,THOMPSON,1942-01-05,11377
16680,JOHN,WALL,1977-02-06,11109
16681,RONALD,MOORE,1949-03-26,11226
16682,LARRY,ROSS,1980-11-09,11377
16683,RICHARD,WHITE,1959-06-03,11226
16684,JACK,SHARP,1960-12-08,11226
16685,WILLIAM,HUGHES,1960-03-13,11226
16686,RICHARD,DAVIS,1970-03-03,11109
16687,ROBERT,ROBINSON,1975-04-22,11226
16688,AARON,ROBERTS,1985-11-03,11377
16689,PAUL,VALDEZ,1943-10-31,11226
16690,MICHAEL,JEFFERSON,1994-01-10,11227
16691,JOSEPH,PHILLIPS,1962-01-25,11227
16692,ALAN,BROWN,1948-09-01,11227
16693,JAMES,DAVIS,1997-03-10,11377
16694,JIMMY,HERNANDEZ,1963-11-03,11109
16695,KENNETH,MAY,1968-03-19,11377
16696,DANIEL,MORRIS,1948-01-15,11226
16697,JAMES,WOOD,1946-05-14,11109
16698,JOE,MITCHELL,1946-09-14,11227
16699,STEVE,CARTER,1970-03-20,11377
16700,MARK,BOONE,1990-03-05,11227
16701,JAMES,BRADLEY,1941-09-21,11227
16702,JAMES,CAMPBELL,1996-08-08,11377
16703,ALAN,GARCIA,1961-10-03,11226
16704,DOUGLAS,SHELTON,1947-01-02,11226
16705,JUAN,SNYDER,1975-04-05,11226
16706,DANIEL,BUTLER,1954-01-02,11226
16707,LARRY,CAMPBELL,1953-06-17,11227
16708,JOHN,CARR,1968-02-04,11377
16709,JEFFREY,FAULKNER,1991-06-06,11227
16710,NICHOLAS,WHITE,1968-06-12,11227
16711,ALBERT,SAUNDERS,1991-05-18,11226
16712,HARRY,TURNER,1986-07-07,11377
16713,WALTER,WHITAKER,1941-11-27,11226
16714,FRANK,PEREZ,1960-06-29,11109
16715,GEORGE,SMALL,1950-10-20,11226
16716,GEORGE,DAVIS,1941-09-27,11109
16717,GARY,ROBERTS,1969-10-12,11226
16718,JOHN,MORRIS,1988-04-26,11227
16719,LARRY,MASSEY,1977-05-08,11226
16720,RONALD,THOMPSON,1973-09-12,11377
16721,JAMES,BLEVINS,1940-01-15,11226
16722,MARK,DAVIS,1962-01-09,11377
16723,DANIEL,BALL,1973-08-12,11226
16724,ROBERT,TRUJILLO,1970-05-07,11226
16725,ERIC,REED,1943-11-06,11226
16726,DAVID,ALLEN,1975-02-23,11226
16727,MICHAEL,TURNER,1976-09-25,11226
16728,GREGORY,ROBINSON,1992-05-30,11109
16729,STEVE,MILLER,1961-12-29,11226
16730,PAUL,MILLER,1986-03-26,11227
16731,LAWRENCE,JONES,1963-01-12,11226
16732,RICHARD,HENSLEY,1969-04-26,11226
16733,PETER,MOORE,1970-07-03,11226
16734,CHARLES,VANCE,1992-08-17,11109
16735,DAVID,BISHOP,1956-09-29,11227
16736,ROBERT,ROACH,1941-02-22,11109
16737,ADAM,MORENO,1978-01-01,11226
16738,MARK,COLLIER,1977-02-23,11226
16739,MICHAEL,BLACKBURN,1963-10-26,11226
16740,EDWARD,AGUILAR,1986-05-05,11226
16741,DAVID,BECK,1948-07-05,11109
16742,RICHARD,GARCIA,1995-01-16,11226
16743,RICHARD,GLOVER,1983-02-20,11227
16744,JESSE,ARMSTRONG,1973-10-11,11227
16745,JONATHAN,HODGES,1974-07-22,11109
16746,CRAIG,MASON,1999-11-01,11227
16747,WILLIAM,SCOTT,1999-06-22,11227
16748,PHILIP,RIOS,1957-09-07,11226
16749,TODD,GARNER,1947-03-19,11377
16750,STEPHEN,MYERS,1973-08-02,11226
16751,LARRY,SAUNDERS,1982-02-22,11227
16752,MARK,FOLEY,1969-08-15,11227
16753,PATRICK,NELSON,1999-05-24,11377
16754,JOHNNY,ARMSTRONG,1954-12-12,11226
16755,KENNETH,ANDERSON,1992-08-20,11226
16756,WILLIAM,CLARK,1983-10-04,11226
16757,THOMAS,CHANEY,1966-05-29,11226
16758,JEREMY,MONTGOMERY,1979-02-20,11377
16759,JIMMY,ROBINSON,1973-07-16,11377
16760,DONALD,THOMAS,1995-09-10,11227
16761,ALAN,WALKER,1994-12-25,11226
16762,TERRY,GREENE,1996-02-25,11227
16763,DAVID,LAWRENCE,1998-08-30,11226
16764,JESSE,WILLIAMS,1964-11-14,11226
16765,EARL,LOPEZ,1993-06-22,11227
16766,RONALD,WILSON,1973-02-18,11377
16767,PETER,GLASS,1975-12-13,11109
16768,STEPHEN,MURPHY,1980-06-21,11109
16769,JAMES,MOORE,1964-08-15,11226
16770,JASON,HENSON,1940-05-17,11226
16771,TODD,HUDSON,1982-10-31,11109
16772,CHARLES,MCKEE,1978-04-04,11226
16773,MARK,JENNINGS,1987-06-26,11227
16774,FRED,JONES,1948-07-27,11226
16775,HOWARD,MCGEE,1969-05-08,11226
16776,JOSE,RIVERA,1985-05-20,11109
16777,RICHARD,BARKER,1959-08-01,11109
16778,WILLIAM,BRANCH,1972-03-04,11109
16779,JOSEPH,STEVENSON,1965-08-06,11227
16780,ALAN,FAULKNER,1981-12-29,11377
16781,JAMES,RICHARDSON,1985-06-01,11226
16782,DAVID,HARRIS,1948-05-31,11377
16783,JOSHUA,TATE,1970-01-10,11226
16784,CHARLES,LUCAS,1986-05-15,11377
16785,ROBERT,MYERS,1980-03-24,11377
16786,BRIAN,BALDWIN,1997-12-13,11377
16787,TODD,COOK,1960-09-22,11226
16788,RICHARD,SMITH,1967-03-31,11226
16789,CHRISTOPHER,SMITH,1987-10-18,11377
16790,RUSSELL,LEE,1972-07-23,11227
16791,RICHARD,BELL,1977-11-27,11109
16792,CHRIS,DIXON,1989-01-28,11227
16793,LARRY,KING,1988-05-12,11227
16794,GARY,LOPEZ,1948-07-17,11227
16795,PAUL,KNOWLES,1996-09-25,11226
16796,THOMAS,GOODWIN,1952-12-30,11109
16797,ROBERT,GOMEZ,1972-05-02,11109
16798,ERNEST,HOUSE,1988-08-02,11226
16799,CHRISTOPHER,RICHARDS,1987-10-29,11226
16800,LAWRENCE,WARREN,1983-03-25,11109
16801,ROBERT,MCDONALD,1948-11-02,11226
16802,JOHN,DUNN,1981-06-19,11377
16803,STEVEN,JACKSON,1942-01-12,11226
16804,JOHN,THOMAS,1961-01-05,11226
16805,FRANK,COX,1990-12-24,11377
16806,GARY,KRAMER,1955-01-25,11109
16807,ROBERT,WOLFE,1980-10-10,11226
16808,JASON,SULLIVAN,1962-12-06,11226
16809,RALPH,MEYER,1978-10-07,11377
16810,HENRY,TUCKER,1997-05-18,11226
16811,GEORGE,CARR,1941-01-19,11226
16812,JAMES,STONE,1997-08-04,11226
16813,STEVEN,JOHNSON,1972-08-28,11227
16814,ANTHONY,STEPHENS,1977-12-29,11109
16815,ARTHUR,GONZALEZ,1969-06-01,11377
16816,DONALD,GUERRA,1987-09-24,11227
16817,THOMAS,JENKINS,1959-08-13,11109
16818,PETER,ROBERTSON,1961-10-20,11377
16819,DOUGLAS,DAWSON,1983-04-01,11226
16820,FRANK,MARTIN,1969-03-21,11109
16821,JEREMY,FOWLER,1992-12-04,11226
16822,JOHN,MURPHY,1993-08-10,11227
16823,ROBERT,JAMES,1996-06-23,11227
16824,JAMES,WHITE,1996-01-08,11226
16825,JOSE,THOMPSON,1966-11-06,11226
16826,GEORGE,LEE,1957-12-25,11226
16827,TIMOTHY,JONES,1963-12-23,11109
16828,JOHN,PERRY,1955-02-04,11109
16829,WILLIE,THOMPSON,1987-01-05,11109
16830,JERRY,DUNCAN,1988-02-24,11226
16831,JONATHAN,RAMIREZ,1997-11-10,11226
16832,DOUGLAS,WALLACE,1963-01-17,11227
16833,JOHN,JACKSON,1940-01-26,11109
16834,PATRICK,JOSEPH,1998-10-22,11227
16835,STEVEN,BARRETT,1960-05-24,11226
16836,DAVID,FARMER,1995-06-23,11377
16837,PHILLIP,ROSE,1988-10-14,11226
16838,BRUCE,HALL,1958-04-04,11377
16839,KENNETH,SMITH,1989-10-12,11109
16840,LARRY,YOUNG,1986-02-23,11226
16841,JOSEPH,BAILEY,1964-09-29,11109
16842,KENNETH,HARRIS,1985-07-02,11226
16843,JOHN,OWENS,1997-06-26,11226
16844,ANTHONY,HOWARD,1991-05-01,11227
16845,JAMES,BARNES,1943-07-07,11226
16846,LARRY,GIBSON,1954-10-21,11377
16847,CHRISTOPHER,BROWN,1940-01-24,11226
16848,GEORGE,WILLIAMS,1980-01-19,11109
16849,BRIAN,ARNOLD,1999-11-28,11227
16850,JOSEPH,SALAZAR,1972-01-10,11227
16851,WILLIAM,GONZALEZ,1977-02-09,11377
16852,JAMES,ARMSTRONG,1959-01-04,11227
16853,RICHARD,WOODWARD,1954-10-30,11226
16854,WILLIAM,ANDERSON,1965-02-18,11109
16855,CHARLES,MASON,1961-04-05,11226
16856,CHRISTOPHER,ANTHONY,1983-03-16,11227
16857,WILLIAM,PARKER,1988-03-10,11226
16858,ERIC,STEPHENS,1993-08-09,11226
16859,GEORGE,MUNOZ,1987-08-09,11227
16860,CLARENCE,SMITH,1940-12-05,11226
16861,WILLIE,KNIGHT,1998-12-21,11226
16862,JUAN,VEGA,1985-06-24,11109
16863,RICHARD,DUDLEY,1993-08-07,11226
16864,SHAWN,CARPENTER,1981-12-25,11226
16865,KENNETH,BENNETT,1963-08-31,11226
16866,DENNIS,BENNETT,1943-03-03,11377
16867,JOHN,WATKINS,1979-06-08,11227
16868,JOHN,COLE,1989-03-30,11226
16869,JOSEPH,FLETCHER,1940-08-16,11227
16870,WAYNE,JACKSON,1950-09-01,11226
16871,HENRY,RIDDLE,1970-11-16,11377
16872,JAMES,BLANCHARD,1992-02-08,11227
16873,STEVEN,WILKINSON,1954-01-13,11226
16874,SHAWN,ONEAL,1989-01-25,11226
16875,RICHARD,ROSS,1946-08-05,11227
16876,CHARLES,JONES,1957-03-14,11226
16877,JACK,MARTINEZ,1981-05-05,11226
16878,ROBERT,JENNINGS,1959-01-05,11226
16879,JAMES,WILLIAMS,1971-11-30,11377
16880,JAMES,WARD,1987-11-01,11109
16881,LOUIS,SANDERS,1976-10-13,11226
16882,MARK,KELLY,1993-12-17,11227
16883,DAVID,ROBERSON,1940-03-06,11109
16884,JOSE,WASHINGTON,1956-12-21,11226
16885,JAMES,HOLMES,1974-06-12,11109
16886,JAMES,HOOD,1998-03-01,11226
16887,JESSE,INGRAM,1970-01-10,11226
16888,BRANDON,CLARKE,1945-05-23,11226
16889,JOHN,BANKS,1997-08-17,11227
16890,PAUL,HOPKINS,1956-11-15,11226
16891,DANIEL,GONZALEZ,1995-04-13,11109
16892,GEORGE,THOMPSON,1984-02-08,11226
16893,THOMAS,WILSON,1977-10-19,11227
16894,ANTHONY,BURKE,1951-04-17,11109
16895,KENNETH,CHANG,1991-06-12,11377
16896,RICHARD,PARKER,1978-07-04,11227
16897,JOHN,JACKSON,1975-12-18,11109
16898,ROBERT,WASHINGTON,1975-12-01,11227
16899,SCOTT,SHERMAN,1960-10-18,11109
16900,ANDREW,DAVIS,1945-03-02,11226
16901,LOUIS,WATSON,1956-07-15,11226
16902,JESSE,THOMAS,1985-05-16,11227
16903,MICHAEL,MATTHEWS,1993-02-20,11226
16904,JOE,BRADLEY,1977-06-03,11227
16905,WILLIAM,FULLER,1965-07-23,11226
16906,SHAWN,SEXTON,1972-12-28,11377
16907,TERRY,RAMIREZ,1946-03-05,11226
16908,JAMES,GARDNER,1970-08-14,11226
16909,JOHN,NEWTON,1943-07-08,11109
16910,TIMOTHY,WAGNER,1946-08-13,11226
16911,DONALD,BROCK,1990-02-15,11377
16912,GARY,DAVIS,1963-02-07,11227
16913,PHILLIP,LOPEZ,1970-12-18,11226
16914,ANDREW,REID,1954-10-11,11377
16915,STEVEN,GARCIA,1980-03-24,11226
16916,JAMES,WOLFE,1962-07-13,11226
16917,LOUIS,GONZALES,1978-01-07,11226
16918,DAVID,GARRETT,1988-03-24,11226
16919,ROBERT,FRANKLIN,1973-03-19,11109
16920,CLARENCE,BALL,1973-09-03,11227
16921,MARK,CHANDLER,1965-09-09,11377
16922,ANTHONY,BARRON,1993-11-01,11227
16923,KEITH,JACKSON,1977-05-04,11109
16924,JOSE,BELL,1976-07-27,11226
16925,JIMMY,RUSH,1966-05-19,11377
16926,PETER,TURNER,1958-04-15,11226
16927,RAYMOND,WATSON,1973-06-14,11226
16928,JOHN,BOYD,1952-01-07,11226
16929,ROBERT,JUSTICE,1993-02-09,11226
16930,TIMOTHY,MOODY,1966-03-02,11109
16931,DONALD,DUKE,1962-04-07,11226
16932,CARL,JAMES,1966-07-25,11226
16933,RICHARD,HENDRICKS,1976-03-12,11226
16934,TODD,MURRAY,1962-01-01,11377
16935,DAVID,BROWN,1993-05-06,11109
16936,HAROLD,COLE,1975-04-30,11226
16937,RONALD,WHITE,1945-06-26,11227
16938,SCOTT,MONROE,1970-10-31,11226
16939,ERNEST,WASHINGTON,1977-10-09,11226
16940,RONALD,ESTES,1988-08-11,11226
16941,DONALD,SPENCER,1983-05-12,11226
16942,DONALD,ELLIOTT,1975-04-03,11109
16943,ROBERT,SYKES,1972-01-25,11226
16944,PETER,ODOM,1980-12-24,11226
16945,BOBBY,MOORE,1979-05-30,11109
16946,CHARLES,WOOD,1985-07-17,11226
16947,JAMES,BUSH,1980-05-18,11226
16948,ROBERT,SANDERS,1991-01-31,11226
16949,ROBERT,DIAZ,1971-09-03,11109
16950,SHAWN,HARRINGTON,1955-02-10,11109
16951,HENRY,HARRISON,1963-08-31,11226
16952,GREGORY,TURNER,1962-08-07,11227
16953,STEVEN,LOPEZ,1976-02-11,11226
16954,MICHAEL,PARKER,1965-12-01,11226
16955,KENNETH,HARRISON,1943-03-09,11226
16956,JONATHAN,SHAW,1946-05-06,11226
16957,CHARLES,CARPENTER,1956-12-23,11227
16958,JOHN,SMITH,1973-12-30,11226
16959,ROGER,RILEY,1971-11-15,11226
16960,THOMAS,MCDONALD,1958-10-07,11226
16961,MICHAEL,COLEMAN,1952-01-19,11109
16962,VICTOR,MARTIN,1970-06-13,11226
16963,EUGENE,AUSTIN,1947-02-01,11227
16964,ERIC,WELCH,1978-12-23,11226
16965,JASON,SIMS,1945-07-30,11226
16966,THOMAS,JOHNSTON,1942-02-18,11226
16967,DONALD,HILL,1947-04-06,11227
16968,ROBERT,PICKETT,1954-05-23,11227
16969,PAUL,FISHER,1960-11-16,11226
16970,WILLIAM,PARRISH,1971-05-28,11226
16971,DANIEL,OSBORNE,1955-07-09,11226
16972,RICHARD,GUERRERO,1963-01-20,11227
16973,CHARLES,JOHNSON,1974-06-02,11226
16974,JAMES,BOLTON,1964-05-14,11226
16975,KEVIN,GILLESPIE,1988-04-26,11227
16976,LOUIS,MACDONALD,1987-11-05,11226
16977,ERIC,DAVIS,1942-12-30,11226
16978,TIMOTHY,SMITH,1954-09-15,11226
16979,BRIAN,SMITH,1981-02-17,11109
16980,BRANDON,JAMES,1985-11-29,11226
16981,STEPHEN,DIAZ,1975-04-19,11226
16982,WILLIAM,TAYLOR,1978-12-23,11377
16983,TIMOTHY,SCOTT,1990-12-20,11226
16984,DAVID,KENNEDY,1979-09-26,11227
16985,CHRISTOPHER,RODRIGUEZ,1956-11-18,11109
16986,JAMES,CAIN,1965-06-20,11227
16987,MARK,SANCHEZ,1995-05-16,11226
16988,STEVEN,BENNETT,1942-09-13,11226
16989,DAVID,BEARD,1967-02-27,11227
16990,CHRIS,FERGUSON,1953-04-07,11226
16991,ROBERT,EVANS,1995-12-19,11226
16992,HENRY,JONES,1964-11-10,11377
16993,ROY,MERCADO,1946-08-15,11226
16994,RANDY,LAWRENCE,1983-11-27,11227
16995,BOBBY,THOMAS,1979-08-05,11226
16996,MICHAEL,FORD,1982-08-29,11226
16997,WILLIAM,WOLFE,1995-08-04,11227
16998,CHARLES,PARKER,1991-06-13,11227
16999,VICTOR,PETERSEN,1946-08-18,11226
17000,RICHARD,WHITE,1969-02-06,11226
17001,GARY,LOPEZ,1981-06-15,11377
17002,MICHAEL,FULTON,1976-02-24,11227
17003,EDWARD,COOK,1985-09-26,11226
17004,BRUCE,JOHNSON,1997-03-19,11226
17005,WILLIAM,MANNING,1953-08-22,11226
17006,JOHN,SMITH,1955-04-01,11226
17007,ROY,TAYLOR,1979-08-06,11226
17008,BRUCE,ROBERTS,1981-03-21,11226
17009,CLARENCE,BOOKER,1948-03-12,11227
17010,JOHNNY,JOHNSON,1987-04-01,11226
17011,THOMAS,THOMAS,1967-01-29,11226
17012,ALBERT,GOMEZ,1968-11-09,11377
17013,JOSEPH,BIRD,1941-06-01,11227
17014,ROBERT,BUCK,1960-09-13,11226
17015,PHILIP,BROWN,1980-09-26,11226
17016,HAROLD,DRAKE,1983-08-24,11377
17017,CHRISTOPHER,SMITH,1957-07-16,11226
17018,ANTHONY,KIRBY,1999-06-29,11227
17019,RICHARD,ANTHONY,1989-04-03,11377
17020,JAMES,WILLIAMS,1986-05-05,11227
17021,BRANDON,REED,1951-10-07,11226
