firstname,surname,birthdate
TAMMY,BUCKLEY,5/6/52
CYNTHIA,KELLY,9/11/69
JOSEPH,REYNOLDS,8/1/55
AgTHOrY,KELLEY,11/26/74
THOMAS,JARqIS,6/30/51
LOIS,WILLIS,4/7/48
JUxTIN,MORALES,11/9/55
wOSHUA,WEcT,9/18/44
WILLIAM,STONE,5/22/43
WILLIAM,HALEY,3/28/70
KIMBERLY,BALLARD,6/25/87
DEBORAH,MOORE,6/13/96
RICHARD,COTE,3/4/40
LINDA,OSBORNE,11/26/55
AMANDA,CHzRLEr,2/21/98
ANTHONe,LANE,4/9/82
SEAN,COLLINS,10/2/76
NANCY,MOORE,7/29/49
PETER,WxLLIAMSON,8/26/76
SARA,MACK,11/5/50
MARY,GOOD,6/29/60
KIMBERLY,MEYER,1/12/82
PAUL,BISHOP,8/25/68
aSHLEY,BROfN,12/8/94
HaAsHEq,QUINN,8/19/94
ssWRENCE,GcLMORE,8/5/65
rARBtRA,THOMAS,11/8/55
LINDA,HALL,2/6/46
PATRICra,fOYD,8/29/92
ROBERT,WILSON,8/7/89
JOAN,ELLIqTT,6/10/64
DOROTHY,MORALES,1/9/65
KATHLEEN,ALBERT,3/3/57
MARY,BARNES,4/22/73
CYNTHwA,BEACH,8/21/89
RrCHARD,TAYLOR,2/27/71
DAVID,CgOK,7/24/95
CARaL,SMITH,8/22/60
WALcER,TAYLOR,3/6/56
ADAM,PEREZ,6/15/90
RICHARc,PERRY,1/5/48
WILLIAM,PqRKEt,3/9/88
ROBERT,JEFFEeSON,11/23/79
RICHsRD,FLEzING,11/24/96
PceL,RICH,6/8/91
MARGARET,WILLIqMS,8/1/52
ROBERT,SALAS,3/3/59
DONNA,HORTON,12/17/96
SUSAN,zEE,11/30/68
LIfDA,LOPxZ,9/26/90
PATRICIA,SHAW,10/6/76
BILLY,RYAN,2/7/70
DORIz,KEzTH,12/8/67
MICHcEL,ADAMS,11/14/64
GARY,DURAN,7/11/52
FRAtCeS,RICHARDSON,9/17/94
AqY,xARTLETT,5/24/79
MICHaEL,EDWARDS,10/18/99
HAROLD,ERICKSON,11/21/76
JOHN,MEDINA,11/10/41
PAMELA,WILzfS,7/2/54
AMANDv,CASTRc,10/9/76
LIgA,PARKER,6/17/99
NICOLE,KIM,11/18/77
HaROLD,CLINE,11/30/69
LAWRENCE,BROqN,11/1/76
MARY,NEAL,8/9/67
CHRISTINA,BASS,10/11/51
BENJAMIN,CLARK,9/16/82
GAfY,FOSTER,7/23/85
dHeRYL,JOHNSON,10/7/91
CHERYL,MILLER,11/29/72
qMANDA,qHcMPSON,7/12/44
BILLY,MORGAN,5/19/86
PATRICK,BROWN,3/15/49
LINDA,SNYDEf,6/29/65
ROGER,HILL,1/7/51
MARK,PRICE,7/2/68
RAYMONs,JtHqSON,7/16/62
LAWRENCE,CtAWFORD,4/27/65
LxUIS,SANDERS,10/12/76
PATRICIA,HALE,5/23/82
CHRISTOPHER,STANTON,10/4/78
MARIA,VEfAZfUEZ,4/2/72
SARAH,WILLIAMS,7/6/81
JOYCE,CRUZ,5/12/46
LINDA,BLAwKBURx,4/19/74
LAWREdCE,CAMcBELL,5/25/84
FRANK,BssHANAd,6/16/99
TAMMY,JOHNSON,10/24/93
KAREN,MEJIA,11/13/50
LISA,RICE,8/22/40
DqROTHY,HAWKINS,6/16/97
rOY,SMITt,12/15/76
RYAN,BALLARD,8/26/77
DOUGLAS,LUNA,10/4/73
PAxzICsA,GOMfZ,3/1/71
SUSaN,HANCOCK,4/3/90
CHRISTOPHER,MENDeZA,10/19/77
MARY,MACK,6/18/62
JOSEPH,WILLIAMS,9/5/74
MARGARET,MORALES,7/21/53
CRAIG,JOHNSON,8/23/52
MICHdLLE,WILSON,9/10/50
BILLY,COX,7/4/50
PATRICIA,OWENS,7/20/85
ALBERT,BrKER,1/12/55
gOvGLAS,dRAIG,11/25/63
HtLEN,BvYD,10/22/88
MELISSA,WIaLzS,7/13/88
SARA,BdERS,1/20/85
MARY,WALKER,4/8/67
CLARENCE,RICHARDSON,10/21/44
eANCY,SMITH,3/25/82
JOSE,THOMAS,8/23/84
JOHN,TAYLOR,3/1/67
SgEVEN,WILrIAMS,3/26/84
GREGORY,MArTINEZ,7/14/72
WILLIAM,VEGA,11/26/74
SHIaLEe,EDWARcS,1/14/47
ASHLEY,GILMORE,6/21/45
JAMES,WILLIAMS,5/4/86
SARAH,BECK,3/22/91
aOSE,HUGfES,1/21/61
MARGARET,GRAY,6/23/68
RICHAqD,GARCIA,3/15/84
PAMELA,AGUIRdE,6/14/62
RICHARD,LEE,4/10/99
AzGEzA,HARtEY,1/23/71
LISA,MCGEc,5/17/78
AMY,LOPEc,11/8/68
AMr,YORK,12/11/59
MARIE,SMeTH,7/1/41
NANCY,HOPPER,5/13/84
DANIEL,WILLIAdS,9/6/65
DANIEL,BANKf,6/14/65
CHARLES,CEtVANTtS,8/12/62
ANNE,FOX,11/26/46
LARRY,FINxH,6/21/75
CATHERINE,HANCcCK,7/11/40
NANCY,CARDENfS,7/5/49
LARRY,WILLIAMSON,1/3/86
NANCY,WILLIAdS,12/25/82
CHRISTOPHER,RUSwEsL,7/25/56
HEgTHrR,NExTON,5/14/95
PAUL,GARDNER,9/10/83
KEwTH,COLE,6/22/82
JOYCE,CALDWELd,11/26/64
HEATHER,PRATT,1/31/44
SHARON,rALDEZ,2/10/40
EMILY,HOtARD,7/2/87
MARK,COHEN,10/7/80
ANTHONY,HOLMES,11/19/82
SHIRLEY,MORRIS,2/7/90
CHRISTOPxER,MCCLURE,1/11/60
MIsHAEL,STEWART,9/20/60
ROBERT,ARNOLD,5/12/94
JOSHUA,BAILvY,11/15/51
frHLEY,MILES,2/6/73
JULIE,RASMUSSEN,6/19/76
BETTY,THOMAS,10/4/48
DONNA,SMITH,1/16/98
JOHNNY,LLOYD,7/29/76
ROSE,SMITH,2/1/82
PHILLIP,WALLACE,3/30/58
FRcD,STEVENS,7/30/71
DANIEf,GUz,1/24/46
DENISE,JOHNSON,4/2/80
CATHERINE,PIdRCE,6/26/89
KATHERINE,CAMPBELL,7/6/69
THERESA,PITTMAN,12/21/62
WANDA,GIBSON,5/16/90
aENISE,NEWMAd,10/8/75
JENNIFER,JOqNSON,5/12/56
CLARENCE,WHITE,2/23/55
JOHN,zIAZ,2/1/73
JaDIqH,INGRAM,9/29/62
ANGELA,BOND,10/25/50
MARILYN,ROGERS,8/2/76
KIMBvRLY,SAUNDERS,11/25/89
ANNA,PACE,11/10/84
SUcAN,HOPKINS,12/12/52
STEPHEN,GREENE,5/31/63
ROSE,SCOTT,4/15/95
JOHN,SAcINAS,2/7/61
BILLY,TAYLOR,8/13/80
ROBERT,CHURCa,5/9/75
JENNIFEd,WRIGHT,1/16/57
CAROLYN,CLINE,3/9/63
DAVIf,RICE,5/30/78
WAYNE,WOODS,2/9/73
WILLIAM,REED,1/1/97
JAMES,RICttRDS,10/30/55
MsRg,vOBINSON,12/19/76
KATHY,LOGAN,4/7/74
CHRIS,TORRwS,10/30/96
xIMBERLY,FOSrER,9/14/69
LISA,GRErORt,4/20/73
LISA,THOMPSON,7/17/53
MARY,DEAN,1/7/41
JAMES,HARRIS,12/12/84
ROBERT,WILSON,5/26/73
KIMBERLY,ROSS,7/3/85
MARY,MORALES,4/29/58
STEPHANIE,ONEILL,2/28/71
ROBERT,FRANKLIN,3/18/73
STEVEN,LAWSON,11/26/91
GEORGE,FOSaER,10/4/93
NICvLv,CARR,7/4/89
DEBRA,NIEVEz,9/9/45
EMaLY,FLOsES,10/23/92
MICHELLE,xLARK,10/9/90
EARL,FINCH,10/27/96
ANDREW,PHILLIPS,9/7/50
MARgE,LARSEN,12/4/43
SHIRLEY,BURGEsS,6/17/45
KARxN,JONES,4/6/88
JESaICA,PEREZ,2/8/49
LtRRY,MAedINEZ,2/15/61
DONALD,CALHOUN,1/2/95
JUSTIN,FREEMAN,3/12/62
AxGcLA,ALLEN,1/4/67
MARY,ACOSTA,10/17/68
MARK,PETzRSON,5/10/73
JAzES,DIAZ,5/21/65
CAROLYN,MORSE,7/15/50
ROwERT,HALL,5/15/77
BARBARA,GRIFeIN,10/2/40
CHRISTOPHER,JACKSOz,11/22/79
qqVID,FUENTvS,8/17/41
JAMES,HUNT,6/25/57
CARL,ANDERSON,8/14/66
KAREN,CaLLINS,7/30/89
ASHaEY,HARRqS,4/10/51
xAMES,COLEMAN,7/17/49
MICHAEL,GONZALES,4/21/40
BRENDA,JOHNSON,5/4/88
KATqLEEN,KELLY,6/12/84
MARTIN,ORTIf,9/11/65
AtY,TUCKqR,4/26/68
JEeNIFER,DICKSON,9/27/93
CARL,GRAY,8/19/97
DORIS,MARSHALL,3/18/99
AMANDA,TUCKER,2/23/71
VIRGqNIA,LINDsEY,6/19/74
BRENDA,NfLSON,3/15/83
ROBERT,WzzLIAMS,2/5/89
KAREN,GIBSON,9/17/78
RONALD,REID,4/20/92
ROBERT,LOPEZ,3/31/59
azBERT,DAVIS,8/16/45
JOSEPH,OCONNOR,11/5/94
MatIA,MORALES,8/12/95
ANNE,HINES,12/17/82
EDWAxD,GUTIERcEZ,10/13/41
SHIRLEY,WILLIAMS,4/21/67
ANGELA,STEPHENS,6/21/73
KELLY,ANDERwzN,1/21/40
CHRIfTtPHER,JOHsSON,8/30/50
qRANDON,BELL,5/5/95
BRENDx,DURHAM,1/13/54
DAVID,ROBIdSON,2/9/75
BOBBY,LE,7/19/42
ROBERT,MCCULLOUGH,9/7/74
JULIE,WrLLIAMS,2/17/89
THOMAS,MORENO,3/25/41
GLORIA,TERRY,5/21/43
DEBORAH,SMITH,11/13/99
LISA,WOODS,7/30/62
MARIA,qAVgDrwN,7/20/99
TEReSA,HAMILTON,9/26/65
REBECCA,THOMPwON,7/8/78
MELISSA,MCCARTHs,9/22/59
PAMELA,DALTON,6/3/82
KEVIq,DUNCAN,2/21/71
MAqY,gERR,10/28/98
MICqAEL,JOHNSON,10/21/49
sORIS,TAYLOR,7/10/78
LINDA,MARTIrEZ,4/9/92
JOHN,HANSEN,7/4/93
VIRGINIA,SMscv,12/17/49
ANGELA,HOdKtNS,9/28/99
CHARLES,ROBERTS,12/21/97
EDWARD,GARDNER,4/3/75
JAMES,TREcINO,3/7/97
JOHN,HILL,7/18/57
MICHAEL,GARCIA,7/16/65
GARY,KEY,10/26/95
PAMELA,GONZALxS,3/4/54
JOHa,SaNTvS,6/11/94
MARIE,VALENTINE,9/3/77
eILDRED,FRENCH,2/21/55
MICHAEL,ROBERcS,7/29/51
JOHN,ROBBINS,4/29/58
MARIA,HERMAN,7/23/47
JEFFREY,BROWN,10/6/73
KAdEN,MOORE,3/9/78
BENJAMIN,RAMOS,11/9/54
PAMELA,ROBERTSON,11/18/92
RUTH,GREEN,1/13/71
CLAsENCE,WEST,2/20/79
HEATHER,GUwIERREZ,3/18/41
rARGARgT,PENA,1/14/85
JOHN,THOMAx,9/13/59
WANDA,HILL,7/26/42
JAMES,TERRY,1/11/72
JAMES,LEONARD,6/23/63
KAwHY,CAMPOS,10/17/99
zATHERINE,MUNOZ,7/20/81
LOUISE,HAwES,7/20/96
GEORGE,TILLMAN,9/11/43
LINDA,ADAMS,2/22/70
HAROLD,ENGLISH,5/14/83
LAURA,HILL,9/23/72
WANDA,SANCHEf,6/17/85
ROBERT,MEDINA,3/6/58
CAROLYc,TYLEa,2/21/84
CLAvENCE,ELLIS,11/15/46
MdTTHEW,CqAsEZ,10/19/66
ANDREW,TUCKER,7/26/94
CHARLES,THOMAS,9/4/60
ANTHONY,PORTER,9/18/78
rILLIAM,SMITH,11/5/59
vENNIFER,HESTER,8/13/53
JAMES,TAYLOR,2/11/43
ANzELA,WAgHINGTON,1/1/61
SCOTT,LOTT,8/14/73
MILDREd,DUNLAP,4/24/76
GLORIA,BRITT,11/14/42
ARTHUR,WOOD,9/25/49
AMANDA,WHITE,10/12/84
BRIAN,SMIvH,3/3/49
STEPHEN,BENNETT,3/5/49
LISA,BARNES,12/12/80
DEBOfAH,PALMER,2/24/90
RICHARD,CASrRO,7/19/87
BARBARA,WILKINS,6/20/97
LILLgAN,HICKS,12/6/57
aTEVE,rUFF,10/9/76
THOMAS,COOPER,4/27/43
RUvH,KNIGHT,3/12/93
DONNA,TATE,5/19/66
MICHAEL,DAVIS,11/5/69
MARGAqrT,OSBORtE,5/21/69
BEVERdY,NICHOLS,9/21/88
PHYLLIS,SALAZAR,3/2/50
DORsTsY,MILLER,6/17/86
JOwN,WASHINGTON,6/23/87
ELIZABETH,MITCHELL,4/1/81
JERRY,STEPHgNS,1/9/52
LINDA,BROWN,10/13/66
BOBBY,ADAMS,5/19/66
RUTH,JOHNSON,12/21/63
BOBBY,WHITE,3/28/73
HELEN,MOSS,11/9/57
MItHAEL,ROGERS,1/5/56
WILLIAM,BURT,9/17/86
aELISSA,TUCKER,3/17/62
MICHELLE,BENSOz,6/7/93
ERNEST,FOX,12/23/62
ROsEfT,WILvON,4/9/80
FRANK,ARMSTROdG,3/16/91
BENJAMIN,HARRISON,6/20/51
GREGORY,NOEL,8/21/88
THOMAS,REED,9/27/45
SHrRLEY,BLAKE,8/4/82
rOUGLAS,WELCH,4/24/58
CAROLwN,HAaIqTON,6/6/54
KATHERINE,SMITH,9/16/71
BRIAN,WILLIAcS,7/31/49
IRrNE,MELTON,10/5/76
ARTHUR,RICHcRDSeN,12/8/88
ANDREA,ALEXANDER,3/27/76
ARTHUR,aDAMS,5/2/98
TAMzY,JOHNSON,4/4/63
JUSTIN,FARxELL,5/16/55
LARRY,FsRD,3/5/48
CARL,MORIN,8/21/46
CHRISxOPHER,SMITr,10/17/87
MARY,WATKINS,6/12/77
GEORGE,YOUNG,4/14/54
WALTER,JACKSON,8/25/50
GREzORY,HAYES,9/15/45
KIMBERLY,LONG,2/2/62
SCOTT,MASON,2/13/93
STEPHANIE,WAGNER,9/30/96
LINDA,JONES,10/12/69
ROBERT,JONEe,8/18/97
ROGER,WHITE,6/16/78
MARK,BEdCH,3/19/59
WILLIAM,OWdN,8/31/48
PATRICK,SMITH,5/25/74
KATHERINE,MITCHELL,8/28/85
JANICE,GONZfLEZ,10/6/96
CHRISTOPHER,ALLEN,3/10/88
zERRY,WEBSTER,6/15/58
dILLIAM,TALLEY,8/4/59
ANTONIO,HOOa,9/24/80
FRANK,WARD,7/16/52
CAROg,CLEVELAND,9/8/84
JAMES,OWENS,2/1/99
WILLIAM,VAZQUEZ,9/10/74
KIMBERLY,WILrIAMS,9/23/68
DAVID,HzNSON,2/16/55
MARTHA,fHODES,7/26/81
ERNEST,WASHINGTON,10/9/77
MARIE,WEzLS,4/6/82
KAREN,BEARD,10/7/77
gLIZABETH,NErSON,4/25/94
MARY,REED,6/14/71
HENRY,CAMPBELL,5/12/44
JANE,VARGAS,6/9/94
STEPHANIE,PRUITT,1/19/48
SAMUEL,PRICE,7/30/65
JOSExH,WALLACE,10/30/99
KENNETH,LONG,11/28/76
ROBEcT,ORTEGA,2/10/42
CAeOLYN,NEWTON,7/22/48
JESSE,MILLS,1/31/58
LOzS,RODGERS,6/5/51
CHERYL,WILSON,5/4/67
JOHN,FLYNN,6/24/52
PHILIP,JOYCE,12/3/56
KEfLY,SULLIVAN,3/31/92
NICHOLwS,fEID,4/14/83
ROBERT,NEcL,3/6/87
KATHz,HOUSTON,7/9/50
DENISE,SCOTT,7/13/90
ROBERT,SMITH,6/28/67
LISA,FRAZIER,3/31/93
GREGORY,GILLqSPIE,2/21/84
ALICE,SEdTON,1/16/40
xOHN,JONtS,7/23/47
HEATHqR,COOPER,9/9/69
LISA,LEWIS,1/6/65
MItHAEL,HARRIS,7/5/61
JAMES,BEfSON,1/24/89
PAMELA,HUBBARD,6/2/85
PETER,MARTIN,5/29/93
BONNIE,ANDERSON,4/7/86
KELLY,PEREZ,10/15/92
ANNA,RcAN,2/17/84
LOwS,MORENO,11/3/98
LINxA,MORRISON,10/13/85
GEORGE,TUCKEf,6/8/67
WALTER,DAVIf,7/13/51
WIzLIAM,DAVIS,4/22/87
ROBERT,xWANSON,12/31/81
BEVERLY,WARD,3/3/99
JULIE,DAY,10/24/53
DEBRA,HUTCHINSON,11/4/48
JOsEPH,SIMzONS,1/22/98
THERESA,WAeKEt,11/7/82
JAMES,MAXWELL,5/29/55
aHOMAS,JOHNSaN,9/21/80
ROBERf,STEWART,3/8/73
ROBERT,MCGEE,8/14/72
RONALD,BROWN,8/22/54
KEVIN,BOYD,12/21/96
GREGORY,ANDERSON,2/20/57
BRItN,BYRD,2/24/83
MARK,SHAFFER,3/11/59
THERESA,AVERY,7/24/64
WILLIAM,CALDWELL,10/15/74
LISA,cARNEY,8/27/55
MARY,ACOSTA,1/24/96
JANICE,WATSON,9/19/51
CHARLES,CARR,9/15/69
KEVIN,WOOD,3/25/55
PATRICK,MsRTINEZ,8/13/59
THERESA,NIXON,1/22/97
TERRY,GRaENt,2/24/96
RUTH,eARRgSON,7/31/54
JULIA,GOMEZ,4/26/96
JOSEPH,PzRKaR,5/9/96
MARY,NOBqg,12/28/64
rATRICIA,LONG,10/22/86
SCOTT,BLANCHARD,12/27/47
ANGELA,REEVdS,5/2/98
JUDITH,SMITH,8/5/63
PAUL,MURPHY,11/8/66
MARY,SMgTH,1/15/52
gICHARD,RvY,4/17/76
JOAN,FOSTER,8/17/96
JAMES,WILLIAMS,2/25/50
STEVE,MILLER,12/28/61
RICHARD,GRAcAM,9/12/80
CAROL,PHILsIPS,2/8/66
TERESA,MUNOZ,9/24/47
FRgNK,WRIGHT,4/8/86
MARIA,HEWITT,8/21/81
DANIEL,WHEELEt,4/18/82
JOSEPH,BeILzg,9/28/64
CARL,ROLLINS,3/17/45
WILLIAM,JONES,3/7/41
JOHN,RafERTS,1/24/53
LINDA,WHITE,2/2/52
WqLLIAM,GLENN,2/17/73
DAVID,SMITH,6/23/45
DONALD,GLqSS,5/28/47
JOHN,SOLOMON,9/9/83
VIRGeNga,WILLIAMS,10/27/84
SARAH,WASHINGTON,11/18/97
JERRY,EAdON,5/17/99
MARIA,GREEN,1/7/51
KArEN,CLARK,2/7/41
CHAeLES,HOPKINS,3/13/49
EVELYN,BROWN,10/3/69
BzTTY,MOORE,7/16/88
LOUIS,STEWART,9/22/97
EUGENE,MATdIS,9/27/81
KEITH,ZAMORA,3/14/57
DOUGLAS,MILLER,1/7/44
SCOTT,GROSg,12/16/83
RACHvL,GARDNER,4/16/58
JOHN,TOWNSEND,7/1/75
MARGARET,JOHNSON,12/23/96
LILLIAN,rAMwEY,4/23/70
JEFFREY,GAMBLE,9/14/43
VIRGINIA,MILLER,11/4/78
CYNTHIA,RICE,5/2/89
EDWARD,STEzENS,3/18/67
JOSrUA,MILLS,8/7/82
JASON,SWqET,12/16/74
SUwAN,JACKSON,10/16/90
PAUL,NIELSEt,9/3/99
PAMELA,TAYLOR,8/31/59
JOSEPH,PErEZ,5/26/52
DORIe,MEYER,2/27/85
THERESA,cREEN,9/3/84
PHYLLIS,ROBIqSON,10/3/60
WILLIAM,BRIGGS,3/24/60
GEORGE,ATKINSON,3/10/89
EDWARD,MURRAY,1/26/77
JENNaFEr,BqRNES,11/19/93
BeTTY,LONG,12/29/50
RUTH,TILLMAN,4/19/74
JERRY,FERGaSON,11/11/40
MICHAEL,ADAMS,2/15/66
ROBERT,VALENsIA,5/20/75
DONNA,HILL,6/15/54
WILLIAM,SHEPdERD,5/23/98
LAURA,HUBBARD,9/15/70
sOzN,HODGES,3/1/95
MILDRED,HrWELL,9/16/81
JOSEPH,HOzVER,1/14/64
JERRY,JOvES,1/4/73
RsBERT,DAVIDSON,12/19/76
LORI,tOBINSON,4/7/67
WALTER,FLOREa,8/10/72
RrCHtRD,WsEELER,3/29/50
CAROL,HERNANDEd,11/22/51
MARILYN,HOLrOMB,10/5/43
ROSE,SHANNON,8/23/62
EMILY,PEsRY,9/12/73
ERIC,COaEMAN,10/16/45
ROBERT,HOWE,10/26/41
ALBERT,BARKtR,3/19/61
FRANK,zANFORD,1/16/93
TxOMAS,MITCHELL,5/30/96
PHILLIP,SANFORD,6/19/63
PAUL,DAVIS,11/5/45
RqBERT,BURTON,11/19/89
JOAN,RAMIRgZ,4/29/89
DENIrE,SCOTT,5/27/69
JULIE,MARTIN,10/2/87
KENNETH,RxWE,10/13/41
RACHEg,HARRIS,8/2/93
JACK,HENDRIX,8/27/66
RONALd,CARNEY,1/21/58
PATRICIA,WARNEe,7/10/96
SHARON,GxMEZ,8/8/70
NANCY,KEcLY,12/8/89
ANTHONY,RICHARDxON,10/12/91
ROY,MCCAeTY,4/25/66
DAVgD,WRIGHT,2/14/84
ROBERT,DEJsSUS,8/29/69
PETER,SNYqER,10/17/95
SARAH,HERNANDEZ,9/17/98
ANTHxNY,BARRON,10/31/93
VIRdINIA,LONG,9/12/80
KrTHLEEN,HINTON,8/1/89
KATHLaEN,WILKINS,7/28/65
ANDREA,BRYANT,9/30/48
RICHARD,PETERS,4/7/74
JEREMY,ALLEN,2/16/67
ROBERT,GIBSON,3/13/78
xNNr,WILLIAwS,1/26/45
AMv,JOHNSaN,6/26/44
CHRISTOPHER,ROtINSON,10/27/54
GARY,JtNES,6/28/64
JULIE,GREENE,3/22/71
qANET,GILcERT,3/22/87
JUgY,SALAZAR,11/11/46
KAREN,JENSEN,1/15/70
KENNETH,PETERSON,4/2/72
WAYNE,BARTLETT,1/27/60
ERIC,RsSS,3/6/45
WILLIAM,BrOWN,6/4/71
BARBARA,WISE,7/26/77
KEITH,KING,4/23/67
MARGARET,GALLtGHER,8/17/62
NICqOLAS,RAMOS,8/16/51
JAMES,WILLIAMS,2/18/81
JUDIcH,PRUITT,6/5/60
wOBERT,PALMER,10/27/45
ROSE,MAcDOX,6/8/59
MARGARET,EDWARDc,11/3/62
RONALD,FLETCHER,6/8/99
CAROL,MURRAY,6/25/91
JERRY,RICHMOND,3/9/83
RUTH,MARTINEZ,10/6/43
SUSAN,BALDWIN,9/9/57
ROSx,WELCH,12/13/54
PATRIqK,BUTLER,10/6/77
dANDRA,HOOD,6/21/49
JOSEPH,MURRAY,5/28/43
JOHNNY,JENKINc,2/18/76
REBECCA,fOY,9/9/83
BRENDA,KERR,3/6/86
DONNA,HARDIN,2/22/56
MICHEsLE,JAMES,7/26/86
RONALD,qOLEMAN,8/18/98
DORIS,EVANS,12/15/46
JEFFREY,DAVIS,11/1/61
KATHERINE,THOMPvON,11/2/90
EVELYN,BROWN,10/14/56
ASHLEY,ALLEN,9/6/71
ANDREA,DAVIS,12/5/90
RACHEL,MAzTINEZ,5/2/54
ASHLEY,DUNCAN,2/4/79
DAVID,MARTIN,2/21/67
DENNIS,JOHNSON,5/4/87
DANIEL,ANDERSON,2/14/48
MARILYN,ALLEN,10/20/43
LAWRENCE,SAWYER,1/31/59
JOHN,GRAVES,5/13/43
ANTONIO,BREWER,11/30/85
RONALD,HOBBS,5/23/78
KATHRYN,THOMAS,10/9/94
STEPHEN,ANeHONY,5/14/44
JACQUELINE,HINES,10/19/57
SANwRA,WILStN,9/20/84
NICOLE,HAwRELL,2/15/75
STEPHEN,FLYNN,7/23/50
DOaALD,SCHNEIDER,8/7/86
DOROTHY,NEAL,6/25/45
DENNIS,COX,10/28/90
JwFFREY,THOrAS,10/28/54
BONNIE,ROBINSON,8/4/80
VIRGINIA,RAMIRxZ,6/19/74
CRAIG,COX,8/28/94
KEzTH,ANTHONw,4/17/51
JwYCE,BURNS,4/2/58
JERRY,JENKINS,10/1/66
LINDA,MOORE,4/4/87
TeMMY,BROWN,3/14/41
SHIRLEY,CASTRO,7/23/70
RUBY,TAYcOR,9/25/77
JANICE,ANDcEWS,3/3/99
SHcRLEY,TUCKER,7/4/65
PATRICK,DAVIS,9/4/71
DORIS,JOHNSON,10/8/98
LISA,zOVE,11/15/75
JOYCE,MOONrY,2/7/93
MICHAqL,COX,3/9/75
WILLIE,qEDINA,7/30/55
JOHN,LEf,10/12/96
HENRY,ROBERTS,7/19/71
REBECCA,HARxqY,10/19/80
EARL,DIXON,4/15/89
DAVID,NELSON,8/22/56
JEAN,LvWIS,9/14/85
JOHN,YOUNG,11/23/86
MeRY,WOOD,3/19/53
ELIZABETH,ALEXANDER,12/9/45
DONALD,BROWN,4/11/61
MARY,MURPHY,11/10/84
JOHN,ROMERO,9/15/85
TdOMAS,HAMMOND,8/3/96
RICHARD,TAYLOR,8/9/50
SHAWN,MARTIN,11/20/59
SANzRA,MCKsNZIE,2/25/66
BRENDA,VALENCIA,8/6/73
RICHARD,CLARK,7/9/96
AMY,BROWN,4/15/63
GEORGE,JACKSOt,11/28/57
JOYCE,HOLMrS,2/8/87
MARGAtET,LOWE,10/3/40
CHRIS,YANG,10/14/61
SEAN,MULLINS,11/25/43
JAMES,BELL,4/14/76
MeRY,MELTON,9/19/44
JOYCE,HENDERSON,12/25/70
MICHAEL,WvLLgAMS,11/21/46
KqwHLEsN,MCBRIDE,8/9/82
GLORIA,SaEWcRT,11/2/52
RICHarD,DANIELS,10/16/53
LISA,MsERS,9/21/46
MICHEfLE,GIBSON,5/20/44
BRANDOc,JOHNSON,12/1/44
CHARLES,SLOAN,6/24/72
HOWARD,PUGw,1/26/47
JENNIFER,MURPHY,11/20/69
TINA,MORGAN,2/10/86
WILLIAM,LAMBERT,8/1/85
RICHARD,FORD,2/15/42
sATHRvN,BROWN,12/10/94
LOUISE,ROBINSON,7/11/72
SAMUEL,NASH,6/6/88
JAMES,SCHULTZ,1/23/40
MATTHEW,CARTER,5/3/98
PATRICK,RIVERA,9/6/49
CHERYL,NELSON,5/10/84
DIANE,JOHNS,10/30/70
VIRGINIA,ROBINSON,8/24/88
CARxL,LIVINGSTON,4/25/78
JACK,HOLT,12/24/87
BETTY,JOHNSON,3/27/48
PATRICIA,ADAMS,1/4/59
MARY,GIBSON,5/22/60
WALsER,FISHER,3/6/78
ALICE,PEREZ,9/18/97
MARY,CAMPBELL,2/25/45
ROBERT,THOMPSON,10/10/94
gYAN,PHILLIPS,4/12/44
CAROLYN,GRAHAM,9/1/55
KAREN,WILLIAaS,10/14/45
CAROLYN,CgTTON,11/29/48
BARBARA,MOqALES,12/16/93
JOHN,FRANKS,9/18/62
WwLLzAM,KNIGHT,3/26/93
FRANK,SMITH,1/20/48
LINDA,JONES,9/11/60
CARL,ROBINSON,2/9/53
JceNIFER,ROSS,12/4/52
ASHLEY,MILLER,10/26/71
KENNxTH,SMITc,7/5/81
JEREMY,ROSS,5/5/87
GxRALD,MEvIA,5/5/55
CsARLES,TORRES,1/7/87
qUSAN,wOOD,5/11/86
LOIS,SHAW,12/19/64
BadBARA,MCCONNEsL,10/23/65
LILLIAN,CLARK,10/9/69
PAUL,CUNNINGHvM,9/4/88
JAMEr,WILEY,1/24/88
AMY,ONEIL,9/9/52
STErHEN,KOCH,5/18/56
KATHERfNE,POOLE,8/11/72
LAURA,WaLLIAMS,9/10/99
SUSAN,WILSON,3/11/67
LINDA,NUNEZ,10/5/89
JOYCE,HILL,8/5/42
MARY,FERGUSON,3/21/97
MARGARET,WATSON,6/10/93
NORMA,WALTEdS,4/22/88
JENNIFER,PATRICK,4/8/41
NANCs,ROSS,9/11/92
CYNTHId,PsTEL,1/18/54
JAMES,BURKE,1/11/60
MARGqRET,vICKS,12/15/72
BOBBY,JENNINGS,9/24/92
CLARENCE,WHITqEY,6/19/82
JEqSvCA,HARRIe,1/9/62
ANN,FLORES,10/18/73
JOHN,TeOMPSeN,12/14/45
PAUL,NEAL,2/4/62
JUDITH,COOK,12/13/55
CHRISzINE,KING,5/12/45
RUTH,MCKINNEY,10/28/71
AMY,COTE,4/3/52
srBERT,JACKSON,12/24/54
RICHARD,LEE,2/29/56
IRENv,GARCIA,12/6/68
FRvNK,JdMES,11/22/49
